,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all),Acid type,Solvent name
0,CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1,O,0,0,9.475,"[9.5, 9.45]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997., Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1,C[C@H](Cc1ccccc1)[NH+](C)C,O,0,0,9.4,[9.4],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
2,CC(=O)c1cccc([NH3+])c1,O,0,0,3.56,[3.56],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
3,CC[N@H+]1CCC=C1C,O,0,0,11.84,[11.84],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
4,C1CN=C2NCCC[NH+]2C1,CS(=O)C,-,"2,3,4,5,6,7,8,9-octahydropyrimido[1,2-a]pyrimidin-5-ium",15.3,[15.3],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
5,O=C(O)c1cc(I)cc(I)c1O,O,0,0,2.3,[2.3],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
6,c1ccc([NH2+]c2ccccc2)cc1,O,61236-17-7,diphenylazanium,0.79,"[0.79, 0.79]","[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
7,Cc1c(F)c(F)c(C(=O)O)c(F)c1F,O,0,0,2,[2.0],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
8,COc1ccc([C@H](C)[NH3+])cc1,O,0,0,9.47,[9.47],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
9,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,O,0,0,4.29,[4.29],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
10,CCCCCCC[NH3+],O,0,0,10.66,[10.66],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
11,[NH3+]c1ccc(Cl)cc1Cl,O,0,0,2,[2.0],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
12,C[NH+]1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,O,0,0,9,[9.0],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
13,N#CC1=C(C#N)CC=C1,CC#N,-,"cyclopenta-1,3-diene-1,2-dicarbonitrile",10.17,[10.17],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",C-H acid,acetonitrile
14,[NH3+]c1cc(Br)ccc1Br,O,0,0,1.44,[1.44],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
15,CC(C)c1cccc(=O)c(O)c1Br,O,0,0,4.68,[4.68],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
16,C=CC[NH2+]c1ccccc1,O,0,0,3.56,[3.56],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
17,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1,O,0,0,4.4,[4.4],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
18,O=C(O)[C@H](Cc1ccccc1)N1CCC(C[NH+]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,3.1,[3.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
19,O=C(O)c1cc(=O)c2ccccc2[nH]1,O,0,0,2.5,[2.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
20,C[C@@H]1CCC[C@@H]([NH3+])C1,O,0,0,10.56,[10.56],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
21,CC(C)C(c1ccc([N+](=O)[O-])cc1)[N+](=O)[O-],CC#N,126661-11-8,1-(2-methyl-1-nitropropyl)-4-nitrobenzene,25.9,[25.9],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",C-H acid,acetonitrile
22,CCCOC(=O)c1ccc([NH3+])cc1,O,0,0,2.487,[2.487],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
23,[NH3+]CCC(Cl)(Cl)Cl,O,0,0,9.65,[9.65],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
24,C1CN=C2CCC[NH+]2C1,CS(=O)C,-,"3,4,5,6,7,8-hexahydro-2H-pyrrolo[1,2-a]pyrimidin-5-ium",13.4,[13.4],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
25,[O-][Cl+3]([O-])([O-])O,CS(=O)C,7601-90-3,perchloric acid,-14.9,[-14.9],"[Kutt et al., Tetrahedron Lett., 2018.]",inorganic,DMSO
26,C1CCC[NH2+]CCC1,O,0,0,11.1,[11.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
27,CC#CCO,O,0,0,14.16,[14.16],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
28,CCOC(=O)C1=C(COCC[NH3+])NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,O,0,0,8.6,[8.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
29,CC(C)c1ccccc1[NH3+],O,0,0,4.42,[4.42],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
30,CCc1ccccc1O,O,0,0,10.2,[10.2],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
31,CCCC[NH2+]C[C@H](O)c1ccc(O)cc1,O,0,0,9.034,[9.034],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
32,C[NH+]1CCN(CC(=O)N2c3ccccc3C(=O)[N-]c3cccnc32)CC1,O,0,0,10.71,[10.71],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
33,Cc1cncnc1O,O,0,0,9.17,[9.17],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
34,Cc1ccc(O)c([N+](=O)[O-])c1,O,0,0,7.55,[7.55],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
35,[NH3+]c1ccc(S(=O)(=O)c2ccc(Cl)cc2)cc1,O,0,0,1.38,[1.38],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
36,O=P1(O)Oc2c(-c3cc4ccccc4c4ccccc34)cc3c(c2-c2c4c(cc(-c5cc6ccccc6c6ccccc56)c2O1)CCCC4)CCCC3,CC#N,934201-93-1,"13-hydroxy-10,16-di(phenanthren-9-yl)-12,14-dioxa-13_5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(23),2,8,10,15,17-hexaene 13-oxide",13.985,"[13.97, 14.0]","[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",phosphoric acid,acetonitrile
37,CC[NH2+]CC,CC#N,-,diethylazanium,18.75,[18.75],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,acetonitrile
38,Cl,CC#N,7647-01-0,chlorane,10.1,"[8.9, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Tetrahedron Lett., 2018.,  Kutt et al., J. Org. Chem., 2011, 76, 391-395., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",inorganic,acetonitrile
39,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1C[NH3+],O,0,0,7.48,"[8.6, 6.36]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
40,C[NH+](C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,O,0,0,9.26,[9.26],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
41,CCCC(CCC)C(=O)O,O,0,0,4.6,[4.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
42,CC[C@@H]([NH3+])CO,O,0,0,9.52,[9.52],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
43,C=CCc1ccccc1OC[C@H](O)C[NH2+]C(C)C,O,0,0,9.6,[9.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
44,C(=C/c1nn[nH]n1)\c1ccccc1,O,0,0,4.5,[4.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
45,CC(C)(C)[NH3+],O,0,0,10.68,[10.68],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
