,targets,D-MPNN,D-MPNN with attention,MPNN,MPNN with attention,RNN+NN,RNN+NN with attention,Random forest with descriptors,Random forest with ECFP,MLP with descriptors,MLP with ECFP,RGBoost with descriptors,RGBoost with ECFP
0,8.8,15.537582,16.818897,13.612419,16.293571,16.214758,15.373481,10.236618714288088,11.28370228570339,9.253317685955093,8.755968178121684,8.861163,10.181297
1,43.6,15.157866,16.00865,15.3544445,15.971511,16.237352,15.3985195,42.502433333543685,40.82606666674038,43.365792320337235,43.48428714733924,43.573246,42.862057
2,13.5,14.877419,16.044626,15.8060255,16.24393,15.964594,15.544787,12.75586428571298,13.273679999999985,13.331645046008186,13.602566018270664,13.482086,13.637189
3,7.96,15.255855,14.860255,13.467269,16.855227,15.9922285,15.57595,7.927490000000025,8.368800000000029,8.04141045396187,7.88369025707868,8.064433,8.84437
4,10.1,15.933003,14.600391,14.481659,15.378716,16.227936,15.56134,9.165405,9.775205,8.826387204111153,9.944372856838271,10.08485,9.577077
5,16.61,16.306242,14.532367,14.939517,17.55538,16.151096,15.547688,15.257363571426001,16.634233028567994,16.671579795254857,16.777344280481646,16.56328,17.047117
6,9.21,15.161475,15.545472,15.099295,16.234028,16.08196,15.597226,7.795134999999993,8.986335000000027,8.79179321892883,8.983683611750102,9.217125,8.191421
7,10.5,15.6937475,14.583489,15.184083,15.876374,16.248917,15.552316,8.835964999999998,9.949410000000007,9.67921269126701,9.898276584388059,10.580933,8.471887
8,16.46,15.0606,15.597959,15.398445,18.264013,16.184025,15.56958,15.219104571413999,16.297108571416995,16.643931906055588,17.135229813185056,16.357386,16.417543
9,6.17,15.370672,11.311307,15.743891,13.6772995,16.133253,15.373667,6.384583083337871,6.37646384127213,10.793210176789898,6.1770082952701575,6.225011,6.1824045
10,7.47,14.682676,11.051277,15.471963,18.065548,16.226461,15.393201,7.716088666689508,7.816172500011009,6.971891254475617,7.456905953693163,7.400753,7.5875177
11,40.4,16.198702,16.539463,15.514455,16.216928,16.184244,15.418173,40.96430000009994,40.73830000015005,46.11638553741908,34.3431831592437,40.009876,41.659794
12,8.775,16.237793,10.966663,17.427153,13.352635,16.227844,15.38355,8.688740166676624,8.705902499987966,6.788860271326138,8.887568963655362,8.757869,8.729524
13,6.19,15.793326,14.077163,13.994927,14.771467,16.140383,15.411421,7.1935517500020385,7.170917374999382,16.397040253028948,5.899260078379017,6.200366,6.207323
14,6.705,15.106667,11.129622,17.406343,12.550139,16.152685,15.370092,6.633436638895644,6.67471927381516,7.083309048035186,6.4190165530126855,6.7051115,6.72571
15,7.86,15.142995,15.17745,17.310863,11.560389,16.223724,15.392547,7.915423166721001,7.9675008334239985,7.450880652599265,7.029482885260222,7.622958,7.624116
16,6.04,16.383984,12.106528,16.6405,15.271389,16.14651,15.4108515,8.097845083328032,7.75946930555742,10.603027456178268,6.076497791066082,6.074891,6.5273685
17,39.9,15.809896,17.144598,13.9538965,15.169428,16.178577,15.444,38.89524166670033,38.977280000057014,41.62215759636352,40.00649557055337,39.864704,39.898575
