,Solute SMILES,Solvent SMILES,pKa (avg),pKa (all),Source,,,,,,
0,CSc1cnc2ccccc2c1,O,3.86,"[3.88, 3.84]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
1,CC(C)(N)CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C1=O,O,9.3,[9.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
2,CCCCNC(=O)[N-]S(=O)(=O)c1ccccc1,O,5.02,[5.02],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
3,C/C=C(\Cl)C(=O)O,O,3.22,[3.22],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
4,Cc1cc(N)c2ccccc2n1,O,9.44,[9.44],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
5,N[C@@H]1C[C@]1(F)c1ccc(Cl)cc1,O,6.81,[6.81],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
6,O=C1OC(c2ccccc2)CC(O)=C1Nc1ccccc1Cl,O,4.2,[4.2],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
7,COc1ccc(CN2C(=O)[C@@H]3[C@H](c4ccc(C#N)cc4)N4CCC[C@H]4[C@@H]3[C@@]2(O)C(F)(F)F)cc1,O,5.5,[5.5],[https://bit.ly/3wF902t],,,,,,
8,CC[NH+]1CCCC1CNC(=O)c1cc(NS(N)(=O)=O)ccc1OC,O,9.1,[9.1],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9,C[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CCF,O,8.35,[8.35],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
10,c1ccc2c(c1)CCN2,O,5.49,[5.49],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
