,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
0,CCCC(=O)Nc1ccc(c(c1)C(=O)C)OC[C@@H](C[NH2+:20]C(C)C)O,O,0,0,9.5,['9.5'],['hunt_et_al']
1,c1nc2c(n1COCCO)[nH]c(nc2=O)[NH3+:13],O,0,0,2.2,['2.2'],['hunt_et_al']
2,CCC(=O)O[C@@]1(CC[N@@H+:17](C[C@@H]1C)C)c2ccccc2,O,0,0,8.7,['8.7'],['hunt_et_al']
3,CC(C)[NH2+:16]C[C@H](COc1ccccc1CC=C)O,O,0,0,9.6,['9.6'],['hunt_et_al']
4,CC(C)[NH2+:16]C[C@H](COc1ccc(cc1)CC(=O)N)O,O,0,0,9.6,['9.6'],['hunt_et_al']
5,CCOC(=O)c1ccc(cc1)[NH3+:10],O,0,0,2.5,['2.5'],['hunt_et_al']
6,C[NH2+:10]CCc1ccccn1,O,0,0,10.0,['10.0'],['hunt_et_al']
7,C[NH2+]CCc1cccc[nH+:9]1,O,0,0,3.9,['3.9'],['hunt_et_al']
8,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)[NH3+:18])SC1)C(=O)[O-],O,0,0,7.0,['7.0'],['hunt_et_al']
9,CC[NH+:21](CC)CCC[C@H](C)Nc1ccnc2c1ccc(c2)Cl,O,0,0,10.6,['10.6'],['hunt_et_al']
10,Cc1c(nc[nH]1)CSCCN/C(=[NH+:13]/C)/NC#N,O,0,0,6.8,['6.8'],['hunt_et_al']
11,C[NH+:21](C)CCCN1c2ccccc2CCc3c1cc(cc3)Cl,O,0,0,9.4,['9.4'],['hunt_et_al']
12,c1ccc(cc1)C(c2ccccc2)(c3ccccc3Cl)n4cc[nH+:23]c4,O,0,0,5.8,['5.8'],['hunt_et_al']
13,CN1CCN(CC1)C2=c3ccccc3=[NH+:19]c4ccc(cc4N2)Cl,O,0,0,7.5,['7.5'],['hunt_et_al']
14,C[NH+:22]1CCN(CC1)C2=c3ccccc3=[NH+]c4ccc(cc4N2)Cl,O,0,0,3.9,['3.9'],['hunt_et_al']
15,C[N@H+:19]1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](C=C[C@H]3[C@H]1C5)O)OC,O,0,0,8.1,['8.1'],['hunt_et_al']
16,C[NH2+:20]CCCN1c2ccccc2CCc3c1cccc3,O,0,0,10.3,['10.3'],['hunt_et_al']
17,C1CCC[NH+](CCC1)CCN=C([NH2:13])N,O,0,0,11.4,['11.4'],['hunt_et_al']
