,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
0,Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,O,0,0,6.21,['6.21'],['combined_training_datasets_unique.sdf']
1,Brc1cc(Br)c(NC2=[NH+]CCN2)c(Br)c1,O,0,0,7.46,['7.46'],['combined_training_datasets_unique.sdf']
2,Brc1cc2cccnc2c2ncccc12,O,0,0,4.2,['4.2'],['combined_training_datasets_unique.sdf']
3,Brc1ccc(-c2nn[n-]n2)cc1,O,0,0,3.73,['3.73'],['combined_training_datasets_unique.sdf']
4,Brc1ccc(Br)c(N(CC2CC2)C2=[NH+]CCN2)c1,O,0,0,11.0,['11.0'],['combined_training_datasets_unique.sdf']
5,Brc1ccc(C2[NH2+]CCS2)cc1,O,0,0,5.05,['5.05'],['combined_training_datasets_unique.sdf']
6,Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,O,0,0,7.0,['7.0'],['combined_training_datasets_unique.sdf']
7,Brc1ccc(Cc2nn[n-]n2)cc1,O,0,0,4.62,['4.62'],['combined_training_datasets_unique.sdf']
8,Brc1ccc(N(CC2CC2)C2=[NH+]CCN2)c(Br)c1,O,0,0,11.2,['11.2'],['combined_training_datasets_unique.sdf']
9,Brc1ccc(N2CCc3ccccc3C2)nc1,O,0,0,3.0,['3.0'],['combined_training_datasets_unique.sdf']
10,Brc1ccc(NC2=[NH+]CCN2)cc1,O,0,0,9.65,['9.65'],['combined_training_datasets_unique.sdf']
11,Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,O,0,0,7.0,['7.0'],['combined_training_datasets_unique.sdf']
12,Brc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,O,0,0,6.38,['6.38'],['combined_training_datasets_unique.sdf']
13,Brc1ccc2c(c1)CCN2,O,0,0,3.7,['3.7'],['combined_training_datasets_unique.sdf']
14,Brc1ccc2c(c1)c1c3n2CC[NH+](Cc2ccccc2)C3CCC1,O,0,0,6.95,['6.95'],['combined_training_datasets_unique.sdf']
15,Brc1cccc(-c2nn[n-]n2)c1,O,0,0,3.82,['3.82'],['combined_training_datasets_unique.sdf']
16,Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCC1,O,0,0,11.2,['11.2'],['combined_training_datasets_unique.sdf']
