,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
0,Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,O,0,0,6.21,['6.21'],['chembl25']
1,Brc1cc(Br)c(NC2=[NH+]CCN2)c(Br)c1,O,0,0,7.46,['7.46'],['chembl25']
2,Brc1cc2cccnc2c2ncccc12,O,0,0,4.2,['4.2'],['datawarrior']
3,Brc1ccc(-c2nn[n-]n2)cc1,O,0,0,3.73,['3.73'],['datawarrior']
4,Brc1ccc(Br)c(N(CC2CC2)C2=[NH+]CCN2)c1,O,0,0,11.0,['11.0'],['chembl25']
5,Brc1ccc(C2[NH2+]CCS2)cc1,O,0,0,5.05,['5.05'],['datawarrior']
6,Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,O,0,0,7.0,['7.0'],['chembl25']
7,Brc1ccc(Cc2nn[n-]n2)cc1,O,0,0,4.62,['4.62'],['chembl25']
8,Brc1ccc(N(CC2CC2)C2=[NH+]CCN2)c(Br)c1,O,0,0,11.2,['11.2'],['chembl25']
9,Brc1ccc(N2CCc3ccccc3C2)nc1,O,0,0,3.0,['3.0'],['chembl25']
10,Brc1ccc(NC2=[NH+]CCN2)cc1,O,0,0,9.65,['9.65'],['chembl25']
11,Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,O,0,0,7.0,['7.0'],['chembl25']
12,Brc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,O,0,0,6.38,['6.38'],['datawarrior']
13,Brc1ccc2c(c1)CCN2,O,0,0,3.7,['3.7'],['datawarrior']
14,Brc1ccc2c(c1)c1c3n2CC[NH+](Cc2ccccc2)C3CCC1,O,0,0,6.95,['6.95'],['chembl25']
15,Brc1cccc(-c2nn[n-]n2)c1,O,0,0,3.82,['3.82'],['datawarrior']
16,Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCC1,O,0,0,11.2,['11.2'],['chembl25']
17,Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCCC1,O,0,0,11.3,['11.3'],['chembl25']
18,Brc1cccc(Br)c1N(CC1CC1)C1=[NH+]CCN1,O,0,0,10.88,['10.88'],['chembl25']
19,Brc1cccc(Br)c1N(CC1CCC1)C1=[NH+]CCN1,O,0,0,10.9,['10.9'],['chembl25']
20,Brc1cccc(Br)c1N(CC1CCCC1)C1=[NH+]CCN1,O,0,0,10.9,['10.9'],['chembl25']
21,Brc1cccc(Br)c1N(CC1CCCCC1)C1=[NH+]CCN1,O,0,0,11.2,['11.2'],['chembl25']
22,Brc1cccc(Br)c1N(Cc1ccccc1)C1=[NH+]CCN1,O,0,0,10.4,['10.4'],['chembl25']
