,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
0,C#CCCOCn1cc[n+](Cc2ccccc2)c1C=NO,O,0,0,7.94,['7.94'],['pKa_prospector']
1,C#CC[NH+](CC#C)CC#C,O,0,0,3.09,['3.09'],['pKa_prospector']
2,C#CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,O,0,0,10.1,['10.10'],['pKa_prospector']
3,C#CC[NH+]1CCC(c2ccccc2)CC1,O,0,0,6.99,['6.99'],['pKa_prospector']
4,C#CC[NH2+]CCCCc1ccccc1,O,0,0,8.12,['8.12'],['pKa_prospector']
5,C#CC[NH2+]CCCc1ccccc1,O,0,0,7.85,['7.85'],['pKa_prospector']
6,C#CC[NH2+]CCc1ccccc1,O,0,0,7.47,['7.47'],['pKa_prospector']
7,C#CC[NH2+]Cc1ccc(Cl)cc1Cl,O,0,0,6.26,['6.26'],['pKa_prospector']
8,C#CC[NH2+]Cc1ccccc1,O,0,0,7.12,['7.12'],['pKa_prospector']
9,C#CCNc1ccccc1,O,0,0,3.06,['3.06'],['pKa_prospector']
10,O=C([O-])C(O)=C(O)C(=O)[O-],O,0,0,1.14,['1.14'],['pKa_prospector']
11,NC(=CC(=S)C(F)(F)F)C(F)(F)F,O,0,0,6.84,['6.84'],['pKa_prospector']
12,O=C([O-])C(Cl)=C(Cl)Cl,O,0,0,1.15,['1.15'],['pKa_prospector']
13,O=C([O-])C=CC(F)(F)C(F)(F)C(F)(F)F,O,0,0,3.23,['3.23'],['pKa_prospector']
14,O=C([O-])C=CC(F)(F)F,O,0,0,3.25,['3.25'],['pKa_prospector']
15,N=C(N[NH3+])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O,0,0,3.17,['3.17'],['pKa_prospector']
16,N=C(N[NH3+])C(F)(F)C(F)(F)C(F)(F)F,O,0,0,3.24,['3.24'],['pKa_prospector']
17,N=C(N)NS(N)(=O)=O,O,0,0,1.83,['1.83'],['pKa_prospector']
18,ON=CC(Cl)(Cl)Cl,O,0,0,9.26,['9.26'],['pKa_prospector']
19,O=C([O-])C(Br)(Br)Br,O,0,0,0.66,['0.66'],['pKa_prospector']
20,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,O,0,0,0.17,['0.17'],['pKa_prospector']
21,O=C([O-])C(Cl)(Cl)Cl,O,0,0,0.64,['0.64'],['pKa_prospector']
22,NC(CC(N)=[NH+]O)=[NH+]O,O,0,0,4.73,['4.73'],['pKa_prospector']
23,O=C(CCl)C(Cl)=NO,O,0,0,6.61,['6.61'],['pKa_prospector']
24,O=C([O-])CBr,O,0,0,2.9,['2.90'],['pKa_prospector']
25,O=C([O-])CI,O,0,0,3.15,['3.15'],['pKa_prospector']
26,O=C([O-])CNC(=O)CCl,O,0,0,3.38,['3.38'],['pKa_prospector']
27,O=C([O-])CS(=O)(=O)[O-],O,0,0,4.05,['4.05'],['pKa_prospector']
28,O=C([O-])C(Br)CBr,O,0,0,2.2,['2.20'],['pKa_prospector']
29,O=C([O-])CC(Br)C(=O)[O-],O,0,0,2.69,['2.69'],['pKa_prospector']
30,O=C([O-])C(O)C(Cl)C(=O)[O-],O,0,0,2.32,['2.32'],['pKa_prospector']
31,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)F,O,0,0,2.65,['2.65'],['pKa_prospector']
32,O=C([O-])C(O)C(O)C(O)C(O)CO,O,0,0,3.77,['3.77'],['pKa_prospector']
33,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,O,0,0,2.68,['2.68'],['pKa_prospector']
34,OC(O)C(Cl)(Cl)Cl,O,0,0,9.85,['9.85'],['pKa_prospector']
35,[NH3+]CC(Cl)(Cl)Cl,O,0,0,5.47,['5.47'],['pKa_prospector']
36,OCC(Cl)(Cl)Cl,O,0,0,12.24,['12.24'],['pKa_prospector']
37,O=[N+]([O-])C(CO)([N+](=O)[O-])[N+](=O)[O-],O,0,0,2.37,['2.37'],['pKa_prospector']
38,OCC1OC(O)C(O)C(O)C1O,O,0,0,12.1,['12.10'],['pKa_prospector']
39,O=C([O-])CCBr,O,0,0,3.99,['3.99'],['pKa_prospector']
