Acid,pKa
"2,4,6-Trinitrophenol
acid)",11.0017
4-F-C6H4C(=O)NHTf,10.651
"2,3,4,5,6-(CF3)5-Phenol",10.4611
"2,3,4,6-(CF3)4-C6HCH(CN)2",10.4511
4-Cl-C6H4C(=O)NHTf,10.361
HCl,10.3
(4-Cl-C6H4SO2)2NH,10.201
4-CF3-C6F4CH(CN)2,10.191
"2,3,4,5,6-(CF3)5C6SH",10.105
4-NO2-C6H4SO2NHTos,10.041
4-Cl-3-NO2C6H3SO2NHTos,9.711
4-NO2-C6H4C(=O)NHTf,9.491
"4-NO2-C6H4SO2NH--SO2C6H4-4-Cl",9.171
C6(CF3)5CH(CN)2,8.865
"4-Cl-3-NO2-C6H3SO2NH--SO2C6H4-4-Cl",8.805
"p-Toluenesulfonicacid(TosOH, TsOH)",8.515
(4-NO2-C6H4SO2)2NH,8.1915
"2,4,6-(SO2OCH2CF2CF2H)3-Phenol",8.175
"2,4,6-(SO2OCH2CF3)3-Phenol",7.975
"1-Naphtalenesulfonic acid(1-C10H7SO3H)",7.8915
"4-Cl-3-NO2-C6H3SO2NH--SO2-C6H4-3-NO2",7.885
C6H5CH(Tf)2,7.8515
"4-Cl-3-NO2-C6H3SO2NH--SO2C6H4-4-NO2",7.845
C6F5SO2NHSO2C6H4-4-Cl,7.575
(4-Cl-3-NO2-C6H3SO2)2NH,7.475
"4-chloro-benzenesulfonicacid 
(4-Cl-C6H4-SO3H)",7.215
C6F5SO2NHSO2C6H4-3-NO2,6.735
"3-nitro-benzenesulfonic acid(3-NO2-C6H4SO3H)",6.715
C6F5SO2NHSO2C6H4-4-NO2,6.605
"4-nitro-benzenesulfonic acid(4-NO2-C6H4SO3H)",6.415
3-NO2-C6H4SO2CH(CN)2,6.225
"C6F5SO2NH--SO2C6H3-3-NO2-4-Cl",6.185
4-MeO-C6H4C(=NTf)NHTf,6.0915
4-NO2-C6H4SO2CH(CN)2,6.065
4-Me-C6H4SO2NHTf,5.8615
4-Me-C6H4C(=NTf)NHTf,5.8615
C6H5C(=NTf)NHTf,5.7115
C6H5SO2NHTf,5.5515
4-F-C6H4C(=NTf)NHTf,5.3315
4-Cl-C6H4-C(=NTf)NHTf,5.2415
HBr,5.5
"2,4,6-(SO2F)3-Phenol",5.2515
(C6F5SO2)2NH,5.115
4-Cl-C6H4SO2NHTf,5.0215
4-Cl-C6H4SO(=NTf)NHTos,4.8115
4-NO2-C6H4C(=NTf)NHTf,4.6715
"2,4,6-Tf3-Phenol",4.4815
(CN2)2C=C(CN)OH,4.39
4-NO2-C6H4SO2NHTf,4.0815
"4-Cl-C6H4SO(=NTf)NHSO2-C6H4-4-Cl",4.0315
"2,4-(NO2)2-C6H3SO3H",3.99
"2,3,5-tricyano-cyclopentadiene",3.6815
"4-Cl-C6H4-SO(=NTf)NH--SO2C6H4-4-NO2",3.3315
HI,2.8
