mol,CAS,acetonitrile
(C6F5)CH(CN)COOEt,2340-87-6,17.75
(4-CF3C6F4)CH(CN)COOEt,32251-53-9,16.08
4-MeC6H4CH(CN)2,33534-88-2,17.59
(C6H5)(C6F5)CHCN,42238-33-5,26.14
(C6F5)2CHCN,42238-34-6,21.1
(4-CF3C6F4)(C6F5)CHCN,42238-35-7,18.14
(4-ClC6F4)(C6F5)CHCN,42238-36-8,20.36
(4-HC6F4)(C6F5)CHCN,42254-09-1,21.11
(4-MeC6F4)(C6F5)CHCN,52345-34-3,21.94
(4-ClC6F4)CH(CN)COOEt,55810-56-5,17.39
(4-NC5F4)CH(CN)COOEt,55810-61-2,14.9
4-HC6F4CH(CN)2,55810-63-4,12.98
(4-HC6F4)CH(CN)COOEt,55852-22-7,18.08
4-CF3C6F4CH(CN)2,55852-24-9,10.19
(4-MeC6F4)2CHCN,58432-44-3,22.8
(4-CF3C6F4)2CHCN,58432-55-6,16.13
(4-Me,58432-62-5,26.96
(2-C10F7)CH(CN)COOEt,62325-34-2,17.5
2-C10F7CH(CN)2,62325-35-3,12.23
(4-NC5F4)(2-C10F7)CHCN,62325-37-5,16.02
(2-C10F7)2CHCN,62325-38-6,19.32
(4-NC5F4)(C6F5)CHCN,62325-51-3,16.4
(2-C10F7)(C6F5)CHCN,64934-68-5,20.08
"(2,4,6-Cl3C6F2)(C6F5)CHCN",64934-69-6,20.13
4-MeC6F4CH(CN)2,64934-71-0,13.87
(4-NC5F4)2CHCN,64934-72-1,13.46
C6F5CH(CN)2,719-38-0,13.01
3-CF3C6H4CH(CN)2,99726-60-0,14.72
4-NO2C6H4CH(CN)2,7077-65-8,11.61
C6H5CHTf2,40906-82-9,7.85
d(C6F5)CH(COOEt)2,1582-05-4,22.85
"2,3,5-Tricyanocyclopentadiene",215395-09-8,4.16
9-C6F5-Fluorene,73482-93-6,28.11
Fluoradene,205-94-7,23.9
9-COOMe-Fluorene,3002-30-0,23.53
9-CN-Fluorene,1529-40-4,21.36
9-C6F5-Octafluorofluorene,63264-80-2,18.88
Octafluorofluorene,27053-34-5,24.49
"2,4,6-Br3-Phenol",118-79-6,20.35
4-NC5F4-OH,2693-66-5,15.4
"4-CF3-2,3,5,6-F4-Phenol",2787-79-3,16.62
"4-C6F5-2,3,5,6-F4-Phenol",2894-87-3,18.11
