,name,smiles,cas,iupac,new smiles
0,Phenol,OC1=CC=CC=C1,108-95-2,phenol,C1=CC=C(C=C1)O
1,"2,3,4,5,6-(CF3)5-toluene",CC1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,1018330-43-2,"1-methyl-2,3,4,5,6-pentakis(trifluoromethyl)benzene",CC1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F
2,9-C6F5-fluorene,FC1=C(F)C(=C(C2C3=C(C=CC=C3)C4=C2C=CC=C4)C(=C1F)F)F,73482-93-6 ,"9-(2,3,4,5,6-pentafluorophenyl)-9H-fluorene",C1=CC=C2C(=C1)C(C3=CC=CC=C32)C4=C(C(=C(C(=C4F)F)F)F)F
3,(4-Me-C6F4)(C6H5)CHCN,CC1=C(F)C(=C(C(C#N)C2=CC=CC=C2)C(=C1F)F)F,58432-62-5,"2-phenyl-2-(2,3,5,6-tetrafluoro-4-methylphenyl)acetonitrile",CC1=C(C(=C(C(=C1F)F)C(C#N)C2=CC=CC=C2)F)F
4,3-CF3-phenol,OC1=CC(=CC=C1)C(F)(F)F,98-17-9,3-(trifluoromethyl)phenol,C1=CC(=CC(=C1)O)C(F)(F)F
5,(4-NC5F4)(C6H5)NH,NC1=C(F)C(=C(NC2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,39077-43-5,-,no matches
6,(C6H5)(C6F5)CHCN,FC1=C(F)C(=C(C(C#N)C2=CC=CC=C2)C(=C1F)F)F,42238-33-5,"2-(2,3,4,5,6-pentafluorophenyl)-2-phenylacetonitrile",C1=CC=C(C=C1)C(C#N)C2=C(C(=C(C(=C2F)F)F)F)F
7,4-CF3-phenol,OC1=CC=C(C=C1)C(F)(F)F,402-45-9,4-(trifluoromethyl)phenol,C1=CC(=CC=C1C(F)(F)F)O
8,(4-Me2N-C6F4)(C6F5)NH,CN(C)C1=C(F)C(=C(NC2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,80588-34-7,-,no matches
9,(4-Me-C6F4)(C6F5)NH,CC1=C(F)C(=C(NC2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,80588-36-9,"2,3,5,6-tetrafluoro-4-methyl-N-(2,3,4,5,6-pentafluorophenyl)aniline",CC1=C(C(=C(C(=C1F)F)NC2=C(C(=C(C(=C2F)F)F)F)F)F)F
10,2-CF3-phenol,OC1=C(C=CC=C1)C(F)(F)F,444-30-4,2-(trifluoromethyl)phenol,C1=CC=C(C(=C1)C(F)(F)F)O
11,"2,3,4,5,6-(CF3)5-aniline",FC(F)(F)N(C1=C(C(=C(C=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,58956-76-6,"N,N,2,3,4-pentakis(trifluoromethyl)aniline",C1=CC(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)N(C(F)(F)F)C(F)(F)F
12,Oktafluorofluorene,FC1=C(F)C2=C(C(=C1F)F)C3=C(F)C(=C(F)C(=C3C2)F)F,27053-34-5,"1,2,3,4,5,6,7,8-octafluoro-9H-fluorene",C1C2=C(C3=C1C(=C(C(=C3F)F)F)F)C(=C(C(=C2F)F)F)F
13,Fluoradene,C1=CC=C2C(=C1)C3C4=CC=CC=C4C5=CC=CC2=C35,205-94-7,"pentacyclo[10.6.1.02,7.08,19.013,18]nonadeca-2,4,6,8(19),9,11,13,15,17-nonaene",C1=CC=C2C3=C4C(C2=C1)C5=CC=CC=C5C4=CC=C3
14,"3,5-(CF3)2-phenol",OC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,349-58-6,"3,5-bis(trifluoromethyl)phenol",C1=C(C=C(C=C1C(F)(F)F)O)C(F)(F)F
15,9-COOMe-fluorene,COC(=O)C1C2=C(C=CC=C2)C3=C1C=CC=C3,3002-30-0,methyl 9H-fluorene-9-carboxylate,COC(=O)C1C2=CC=CC=C2C3=CC=CC=C13
16,Acetic acid,CC(O)=O,64-19-7,acetic acid,CC(=O)O
17,(C6F5)CH(COOEt)2,CCOC(=O)C(C(=O)OCC)C1=C(F)C(=C(F)C(=C1F)F)F,1582-05-4,"diethyl 2-(2,3,4,5,6-pentafluorophenyl)propanedioate",CCOC(=O)C(C1=C(C(=C(C(=C1F)F)F)F)F)C(=O)OCC
18,2-NO2-phenol,OC1=C(C=CC=C1)[N+]([O-])=O,88-75-5,2-nitrophenol,C1=CC=C(C(=C1)[N+](=O)[O-])O
