,MeCN,DCE,DMSO,H2O,THF,Heptane,DME
Picric acid,11,44.6,-1,0.3,11.84,,
C(CN)2=C(CN)OH,4.69,35.9,,,,,
(2-C10F7)2CHCN,19.32,53,,,,-0.68,
(C6F5)2CHCN,21.1,55.7,8,,,1.8,6.4
9-C6F5-Octafluorofluorene,18.88,53.8,,,,0,5.3
(4-CF3-C6F4)(C6F5)CHCN,18.14,52.3,4.9,,,-1.39,3.9
(C6H5)(C6F5)CHCN,26.14,,12.8,,,,11.8
Saccharin,14.57,,4,1.8,,,
"2,4-(NO2)2-Phenol",16.66,,5.4,4.1,16.94,,
HCl,10.3,45.2,-2,-5.9,,,
HBr,5.5,40.6,-6.8,-8.8,,,
HI,2.8,37.7,-10.9,-9.5,,,
HClO4,1.83,32.2,-14.9,-15.2,7.57,,
TfOH,2.6,33.7,-14.3,-14.7,7.83,,
Acetic acid,23.51,,12.6,4.75,22.48,,
Benzoic acid,21.51,,11.1,4.25,25.11,,
Aniline-H+,10.62,,3.59,4.6,5.2,,
Pyridine-H+,12.53,,3.45,5.25,5.5,,
Proton Sponge-H+,18.62,,7.47,,11.1,,
DBU-H+,24.34,,13.9,,16.6,,
TBD-H+,26.03,,,,19.4,,
t-BuP1(dma)3-H+,26.98,,15.7,,18.8,,
t-BuP1(pyrr)3-H+,28.42,,,,20.2,,
Et3N-H+,18.63,,9,10.7,12.5,,
TMG-H+,23.3,,13.2,13.6,15.5,,
