,Unnamed: 0,name,solute,solute SMILES,solvent,solvent SMILES,pka,ref,computed CAS,computed IUPAC
0,0,CAS,2340-87-6,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,acetonitrile,CC#N,17.75,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate"
1,1,CAS,32251-53-9,C1=CC=C(C(=C1)C2=CC=CC=C2C(=O)O)C(=O)O,acetonitrile,CC#N,16.08,MeCN_Acids_COSMO-RS_2008_Table.pdf,482-05-3,2-(2-carboxyphenyl)benzoic acid
2,2,CAS,33534-88-2,CC1=CC=C(C=C1)C(C#N)C#N,acetonitrile,CC#N,17.59,MeCN_Acids_COSMO-RS_2008_Table.pdf,33534-88-2,2-(4-methylphenyl)propanedinitrile
3,3,CAS,42238-33-5,FC1=C(F)C(=C(C(C#N)C2=CC=CC=C2)C(=C1F)F)F,acetonitrile,CC#N,26.14,MeCN_Acids_COSMO-RS_2008_Table.pdf,2-Phenyl-2-(pentafluorophenyl)acetonitrile,"2-(2,3,4,5,6-pentafluorophenyl)-2-phenylacetonitrile"
4,4,CAS,42238-34-6,FC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,acetonitrile,CC#N,21.1,MeCN_Acids_COSMO-RS_2008_Table.pdf,Bis(pentafluorophenyl)acetonitrile,"2,2-bis(2,3,4,5,6-pentafluorophenyl)acetonitrile"
5,5,CAS,42238-35-7,FC1=C(F)C(=C(C(C#N)C2=CC=C(C=C2)C(F)(F)F)C(=C1F)F)F,acetonitrile,CC#N,18.14,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
6,6,CAS,42238-36-8,FC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(Cl)C(=C2F)F)F)C(=C1F)F)F,acetonitrile,CC#N,20.36,MeCN_Acids_COSMO-RS_2008_Table.pdf,"(Pentafluorophenyl)(2,3,5,6-tetrafluoro-4-chlorophenyl)acetonitrile","2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile"
7,7,CAS,42254-09-1,FC1=C(F)C(=C(F)C(=C1)F)C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F,acetonitrile,CC#N,21.11,MeCN_Acids_COSMO-RS_2008_Table.pdf,FGXMDMFWDQMYLC-UHFFFAOYSA-,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluorophenyl)acetonitrile"
8,8,CAS,52345-34-3,CC1=C(F)C(=C([C@@H](C#N)C2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,acetonitrile,CC#N,21.94,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
9,9,CAS,55810-56-5,CCOC(=O)C(C#N)C1=C(F)C(=C(Cl)C(=C1F)F)F,acetonitrile,CC#N,17.39,MeCN_Acids_COSMO-RS_2008_Table.pdf,"2-(2,3,5,6-Tetrafluoro-4-chlorophenyl)-2-cyanoacetic acid ethyl ester","ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate"
10,10,CAS,55810-61-2,CCOC(=O)C(C#N)C1=C(F)C(=NC(=C1F)F)F,acetonitrile,CC#N,14.9,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,"ethyl 2-cyano-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetate"
11,11,CAS,55810-63-4,FC1=C(F)C(=C(F)C(=C1)F)C(C#N)C#N,acetonitrile,CC#N,12.98,MeCN_Acids_COSMO-RS_2008_Table.pdf,"(2,3,5,6-Tetrafluorophenyl)malononitrile","2-(2,3,5,6-tetrafluorophenyl)propanedinitrile"
12,12,CAS,55852-22-7,CCOC(=O)C(C#N)C1=C(F)C(=CC(=C1F)F)F,acetonitrile,CC#N,18.08,MeCN_Acids_COSMO-RS_2008_Table.pdf,"2-(2,3,5,6-Tetrafluorophenyl)-2-cyanoacetic acid ethyl ester","ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate"
13,13,CAS,55852-24-9,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,acetonitrile,CC#N,10.19,MeCN_Acids_COSMO-RS_2008_Table.pdf,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile"
14,14,CAS,58432-44-3,CC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(C)C(=C2F)F)F)C(=C1F)F)F,acetonitrile,CC#N,22.8,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
15,15,CAS,58432-55-6,FC1=C(F)C(=C(F)C(=C1C(C#N)C2=C(F)C(=C(C(=C2F)F)C(F)(F)F)F)F)C(F)(F)F,acetonitrile,CC#N,16.13,MeCN_Acids_COSMO-RS_2008_Table.pdf,"Bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile","2,2-bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile"
16,16,CAS,58432-62-5,CC1=C(F)C(=C(C(C#N)C2=CC=CC=C2)C(=C1F)F)F,acetonitrile,CC#N,26.96,MeCN_Acids_COSMO-RS_2008_Table.pdf,"2-Phenyl-2-(2,3,5,6-tetrafluoro-4-methylphenyl)acetonitrile","2-phenyl-2-(2,3,5,6-tetrafluoro-4-methylphenyl)acetonitrile"
17,17,CAS,62325-34-2,CCOC(=O)C(C#N)C1=C(F)C2=C(F)C(=C(F)C(=C2C(=C1F)F)F)F,acetonitrile,CC#N,17.5,MeCN_Acids_COSMO-RS_2008_Table.pdf,ethyl 2-cyano-2-(heptafluoronaphthalen-2-yl)acetate,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate"
18,18,CAS,62325-35-3,C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,acetonitrile,CC#N,12.23,MeCN_Acids_COSMO-RS_2008_Table.pdf,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile"
19,19,CAS,62325-37-5,FC1=C(F)C(=C(F)C(=N1)F)C(C#N)C2=C(F)C3=C(F)C(=C(F)C(=C3C(=C2F)F)F)F,acetonitrile,CC#N,16.02,MeCN_Acids_COSMO-RS_2008_Table.pdf,NKERQBCGNOZIGK-UHFFFAOYSA-,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile"
20,20,CAS,62325-38-6,FC1=C(F)C2=C(F)C(=C(C(C#N)C3=C(F)C4=C(F)C(=C(F)C(=C4C(=C3F)F)F)F)C(=C2C(=C1F)F)F)F,acetonitrile,CC#N,19.32,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,"2,2-bis(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetonitrile"
21,21,CAS,62325-51-3,FC1=NC(=C(F)C(=C1F)C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F)F,acetonitrile,CC#N,16.4,MeCN_Acids_COSMO-RS_2008_Table.pdf,"2-(Pentafluorophenyl)-2-(2,3,5,6-tetrafluoro-4-pyridyl)acetonitrile","2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile"
