,Unnamed: 0,checking?,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
0,0,,2340-87-6,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,-,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",acetonitrile,CC#N,17.75,MeCN_Acids_COSMO-RS_2008_Table.pdf
1,1,T,32251-53-9,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",acetonitrile,CC#N,16.08,MeCN_Acids_COSMO-RS_2008_Table.pdf
2,2,T,33534-88-2,CC1=CC=C(C=C1)C(C#N)C#N,33534-88-2,2-(4-methylphenyl)propanedinitrile,acetonitrile,CC#N,17.59,MeCN_Acids_COSMO-RS_2008_Table.pdf
3,3,T,42238-33-5,FC1=C(F)C(=C(C(C#N)C2=CC=CC=C2)C(=C1F)F)F,42238-33-5,"2-(2,3,4,5,6-pentafluorophenyl)-2-phenylacetonitrile",acetonitrile,CC#N,26.14,MeCN_Acids_COSMO-RS_2008_Table.pdf
4,4,,42238-34-6,FC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,Bis(pentafluorophenyl)acetonitrile,"2,2-bis(2,3,4,5,6-pentafluorophenyl)acetonitrile",acetonitrile,CC#N,21.1,MeCN_Acids_COSMO-RS_2008_Table.pdf
5,5,,42238-35-7,FC1=C(F)C(=C(C(C#N)C2=CC=C(C=C2)C(F)(F)F)C(=C1F)F)F,-,-,acetonitrile,CC#N,18.14,MeCN_Acids_COSMO-RS_2008_Table.pdf
6,6,,42238-36-8,FC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(Cl)C(=C2F)F)F)C(=C1F)F)F,"(Pentafluorophenyl)(2,3,5,6-tetrafluoro-4-chlorophenyl)acetonitrile","2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",acetonitrile,CC#N,20.36,MeCN_Acids_COSMO-RS_2008_Table.pdf
7,7,,42254-09-1,FC1=C(F)C(=C(F)C(=C1)F)C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F,FGXMDMFWDQMYLC-UHFFFAOYSA-,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluorophenyl)acetonitrile",acetonitrile,CC#N,21.11,MeCN_Acids_COSMO-RS_2008_Table.pdf
8,8,,52345-34-3,CC1=C(F)C(=C([C@@H](C#N)C2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,-,-,acetonitrile,CC#N,21.94,MeCN_Acids_COSMO-RS_2008_Table.pdf
9,9,,55810-56-5,CCOC(=O)C(C#N)C1=C(F)C(=C(Cl)C(=C1F)F)F,"2-(2,3,5,6-Tetrafluoro-4-chlorophenyl)-2-cyanoacetic acid ethyl ester","ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",acetonitrile,CC#N,17.39,MeCN_Acids_COSMO-RS_2008_Table.pdf
10,10,,55810-61-2,CCOC(=O)C(C#N)C1=C(F)C(=NC(=C1F)F)F,-,-,acetonitrile,CC#N,14.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
11,11,,55810-63-4,FC1=C(F)C(=C(F)C(=C1)F)C(C#N)C#N,"(2,3,5,6-Tetrafluorophenyl)malononitrile","2-(2,3,5,6-tetrafluorophenyl)propanedinitrile",acetonitrile,CC#N,12.98,MeCN_Acids_COSMO-RS_2008_Table.pdf
12,12,,55852-22-7,CCOC(=O)C(C#N)C1=C(F)C(=CC(=C1F)F)F,"2-(2,3,5,6-Tetrafluorophenyl)-2-cyanoacetic acid ethyl ester","ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate",acetonitrile,CC#N,18.08,MeCN_Acids_COSMO-RS_2008_Table.pdf
13,13,T,55852-24-9,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",acetonitrile,CC#N,10.19,MeCN_Acids_COSMO-RS_2008_Table.pdf
14,14,,58432-44-3,CC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(C)C(=C2F)F)F)C(=C1F)F)F,-,-,acetonitrile,CC#N,22.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
15,15,,58432-55-6,FC1=C(F)C(=C(F)C(=C1C(C#N)C2=C(F)C(=C(C(=C2F)F)C(F)(F)F)F)F)C(F)(F)F,"Bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile","2,2-bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile",acetonitrile,CC#N,16.13,MeCN_Acids_COSMO-RS_2008_Table.pdf
16,16,,58432-62-5,CC1=C(F)C(=C(C(C#N)C2=CC=CC=C2)C(=C1F)F)F,"2-Phenyl-2-(2,3,5,6-tetrafluoro-4-methylphenyl)acetonitrile","2-phenyl-2-(2,3,5,6-tetrafluoro-4-methylphenyl)acetonitrile",acetonitrile,CC#N,26.96,MeCN_Acids_COSMO-RS_2008_Table.pdf
17,17,,62325-34-2,CCOC(=O)C(C#N)C1=C(F)C2=C(F)C(=C(F)C(=C2C(=C1F)F)F)F,ethyl 2-cyano-2-(heptafluoronaphthalen-2-yl)acetate,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",acetonitrile,CC#N,17.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
18,18,T,62325-35-3,C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",acetonitrile,CC#N,12.23,MeCN_Acids_COSMO-RS_2008_Table.pdf
19,19,,62325-37-5,FC1=C(F)C(=C(F)C(=N1)F)C(C#N)C2=C(F)C3=C(F)C(=C(F)C(=C3C(=C2F)F)F)F,NKERQBCGNOZIGK-UHFFFAOYSA-,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",acetonitrile,CC#N,16.02,MeCN_Acids_COSMO-RS_2008_Table.pdf
20,20,T,62325-38-6,C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F,62325-38-6,"2,2-bis(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetonitrile",acetonitrile,CC#N,19.32,MeCN_Acids_COSMO-RS_2008_Table.pdf
21,21,,62325-51-3,FC1=NC(=C(F)C(=C1F)C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F)F,"2-(Pentafluorophenyl)-2-(2,3,5,6-tetrafluoro-4-pyridyl)acetonitrile","2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",acetonitrile,CC#N,16.4,MeCN_Acids_COSMO-RS_2008_Table.pdf
22,22,,64934-68-5,FC1=C(F)C(=C(C(C#N)C2=C(F)C3=C(F)C(=C(F)C(=C3C(=C2F)F)F)F)C(=C1F)F)F,-,-,acetonitrile,CC#N,20.08,MeCN_Acids_COSMO-RS_2008_Table.pdf
23,23,,64934-69-6,FC1=C(F)C(=C(C(C#N)C2=C(Cl)C(=C(Cl)C(=C2Cl)F)F)C(=C1F)F)F,-,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,4,6-trichloro-3,5-difluorophenyl)acetonitrile",acetonitrile,CC#N,20.13,MeCN_Acids_COSMO-RS_2008_Table.pdf
24,24,,64934-71-0,CC1=C(F)C(=C(C(C#N)C#N)C(=C1F)F)F,HGIXMNIATOKKRV-UHFFFAOYSA-,"2-(2,3,5,6-tetrafluoro-4-methylphenyl)propanedinitrile",acetonitrile,CC#N,13.87,MeCN_Acids_COSMO-RS_2008_Table.pdf
25,25,,64934-72-1,FC1=C(F)C(=C(F)C(=N1)F)C(C#N)C#N,-,-,acetonitrile,CC#N,13.46,MeCN_Acids_COSMO-RS_2008_Table.pdf
26,26,T,719-38-0,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile",acetonitrile,CC#N,13.01,MeCN_Acids_COSMO-RS_2008_Table.pdf
27,27,T,99726-60-0,C1=CC(=CC(=C1)C(F)(F)F)C(C#N)C#N,99726-60-0,2-[3-(trifluoromethyl)phenyl]propanedinitrile,acetonitrile,CC#N,14.72,MeCN_Acids_COSMO-RS_2008_Table.pdf
28,28,,7077-65-8,C1=CC(=CC=C1C(C#N)C#N)[N+](=O)[O-],7077-65-8,2-(4-nitrophenyl)propanedinitrile,acetonitrile,CC#N,11.61,MeCN_Acids_COSMO-RS_2008_Table.pdf
29,29,T,40906-82-9,C1=CC=C(C=C1)C(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,40906-82-9,bis(trifluoromethylsulfonyl)methylbenzene,acetonitrile,CC#N,7.85,MeCN_Acids_COSMO-RS_2008_Table.pdf
30,30,T,1582-05-4,CCOC(=O)C(C1=C(C(=C(C(=C1F)F)F)F)F)C(=O)OCC,1582-05-4,"diethyl 2-(2,3,4,5,6-pentafluorophenyl)propanedioate",acetonitrile,CC#N,22.85,MeCN_Acids_COSMO-RS_2008_Table.pdf
31,31,,215395-09-8,N#CC1C=C(C#N)C(=C1)C#N,"1,3-Cyclopentadiene-2,3,5-tricarbonitrile","cyclopenta-2,5-diene-1,2,4-tricarbonitrile",acetonitrile,CC#N,4.16,MeCN_Acids_COSMO-RS_2008_Table.pdf
32,32,,73482-93-6,FC1=C(F)C(=C(C2C3=C(C=CC=C3)C4=C2C=CC=C4)C(=C1F)F)F,-,"9-(2,3,4,5,6-pentafluorophenyl)-9H-fluorene",acetonitrile,CC#N,28.11,MeCN_Acids_COSMO-RS_2008_Table.pdf
33,33,T,205-94-7,C1=CC=C2C3=C4C(C2=C1)C5=CC=CC=C5C4=CC=C3,205-94-7,fluoradene,acetonitrile,CC#N,23.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
34,34,T,3002-30-0,COC(=O)C1C2=CC=CC=C2C3=CC=CC=C13,3002-30-0,methyl 9H-fluorene-9-carboxylate,acetonitrile,CC#N,23.53,MeCN_Acids_COSMO-RS_2008_Table.pdf
35,35,T,9-Cyanofluorene,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C#N,1529-40-4,9H-fluorene-9-carbonitrile,acetonitrile,CC#N,21.36,MeCN_Acids_COSMO-RS_2008_Table.pdf
36,36,T,63264-80-2,C1(C2=C(C3=C1C(=C(C(=C3F)F)F)F)C(=C(C(=C2F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,63264-80-2,"1,2,3,4,5,6,7,8-octafluoro-9-(2,3,4,5,6-pentafluorophenyl)-9H-fluorene",acetonitrile,CC#N,18.88,MeCN_Acids_COSMO-RS_2008_Table.pdf
37,37,T,27053-34-5,C1C2=C(C3=C1C(=C(C(=C3F)F)F)F)C(=C(C(=C2F)F)F)F,27053-34-5,"1,2,3,4,5,6,7,8-octafluoro-9H-fluorene",acetonitrile,CC#N,24.49,MeCN_Acids_COSMO-RS_2008_Table.pdf
38,38,T,118-79-6,C1=C(C=C(C(=C1Br)O)Br)Br,118-79-6,"2,4,6-tribromophenol",acetonitrile,CC#N,20.35,MeCN_Acids_COSMO-RS_2008_Table.pdf
