,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
1626,HBF4,[H+].[B-](F)(F)(F)F,16872-11-0,hydron;tetrafluoroborate,DCE,C(CCl)Cl,35,leito_acids
1624,HB(CN)(CF3)3,[H+].FC(F)(F)[B-](C#N)(C(F)(F)F)C(F)(F)F,863678-02-8,,DCE,C(CCl)Cl,35.7,leito_acids
1648,HB(CN)4,[H+].N#C[B-](C#N)(C#N)C#N,623575-99-5,,DCE,C(CCl)Cl,31.7,leito_acids
187,Nitricacid,[N+](=O)(O)[O-],7697-37-2,nitric acid,MeCN,CC#N,8.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
1614,HNO3,[N+](=O)(O)[O-],7697-37-2,nitric acid,DCE,C(CCl)Cl,43.6,leito_acids
1193,302-01-2,[NH3+]N,18500-32-8,aminoazanium,H2O,O,7.96,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1262,302-01-2,[NH3+]N,18500-32-8,aminoazanium,DMSO,CS(=O)C,10.1,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1325,302-01-2,[NH3+]N,18500-32-8,aminoazanium,MeCN,CC#N,16.61,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1393,302-01-2,[NH3+]N,18500-32-8,aminoazanium,THF,C1CCOC1,13.5,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1166,7664-41-7,[NH4+],14798-03-9,azanium,H2O,O,9.21,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1238,7664-41-7,[NH4+],14798-03-9,azanium,DMSO,CS(=O)C,10.5,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1299,7664-41-7,[NH4+],14798-03-9,azanium,MeCN,CC#N,16.46,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
440,C6F5SO2NHSO2C6H3-3-NO2-4-Cl,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-96-7,"N-((4-chloro-3-nitrophenyl)sulfonyl)-2,3,4,5,6-pentafluorobenzenesulfonamide",MeCN,CC#N,6.18,DCE_2011_pKa_Table_MeCN.pdf
720,C6F5SO2NHSO2C6H3-3-NO2-4Cl,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-96-7,"N-((4-chloro-3-nitrophenyl)sulfonyl)-2,3,4,5,6-pentafluorobenzenesulfonamide",MeCN,CC#N,6.16,pKa_values_of_acids_in_acetonitrile.pdf
949,1171188-96-7,[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,1171188-96-7,"N-((4-chloro-3-nitrophenyl)sulfonyl)-2,3,4,5,6-pentafluorobenzenesulfonamide",MeCN,CC#N,6.16,Ejoc202001649-sup-00001-misc_information.pdf
