,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
0,C1CN=C2NCCC[NH+]2C1,CS(=O)C,-,"2,3,4,5,6,7,8,9-octahydropyrimido[1,2-a]pyrimidin-5-ium",15.3,[15.3],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1,c1ccc([NH2+]c2ccccc2)cc1,O,61236-17-7,diphenylazanium,0.79,[0.79],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2,N#CC1=C(C#N)CC=C1,CC#N,-,"cyclopenta-1,3-diene-1,2-dicarbonitrile",10.17,[10.17],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
3,C[NH+:9](C)c1c(Cl)cc([N+](=O)[O-])cc1Cl,O,0,0,-0.23,[-0.23],"[""['hunt_et_al']""]"
4,C[N+]1(CC[NH+:21](c2ccccc2)c2ccccc2)CCCCC1,O,0,0,-1.5,[-1.5],"[""['hunt_et_al']""]"
5,C[C@H](O)C(=O)[OH:5],O,0,0,3.861,[3.861],"[""['hunt_et_al']""]"
6,c1ccc(CC[NH3+:9])cc1,O,0,0,9.84,[9.84],"[""['hunt_et_al']""]"
7,CC(C)C(c1ccc([N+](=O)[O-])cc1)[N+](=O)[O-],CC#N,126661-11-8,1-(2-methyl-1-nitropropyl)-4-nitrobenzene,25.9,[25.9],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
8,Cc1ccccc1[NH+:10](C)C,O,0,0,6.11,[6.11],"[""['hunt_et_al']""]"
9,CCOP(=O)(OCC)OCC[NH+:9](C)C,O,0,0,8.0,[8.0],"[""['hunt_et_al']""]"
10,O=C(COc1nc(Cl)c(Cl)cc1Cl)[OH:10],O,0,0,3.97,[3.97],"[""['hunt_et_al']""]"
11,c1ccc(C[NH2+:23]C(CC2CCCCC2)CC2CCCCC2)cc1,O,0,0,7.7,[7.7],"[""['hunt_et_al']""]"
12,C1CN=C2CCC[NH+]2C1,CS(=O)C,-,"3,4,5,6,7,8-hexahydro-2H-pyrrolo[1,2-a]pyrimidin-5-ium",13.4,[13.4],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
13,c1ccc2c(c1)Cc1c-2cccc1[NH3+:14],O,0,0,3.87,[3.87],"[""['hunt_et_al']""]"
14,[O-][Cl+3]([O-])([O-])O,CS(=O)C,7601-90-3,perchloric acid,-14.9,[-14.9],"[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']""]"
15,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[OH:23],O,0,0,2.51,[2.51],"[""['hunt_et_al']""]"
16,O=C(c1ccccc1)N(c1ccccc1)[OH:16],O,0,0,8.38,[8.38],"[""['hunt_et_al']""]"
17,COc1cc2nc(-c3ccc(N4CC[NH+:31](C)CC4)cc3)nc(NCCN3CCOCC3)c2cc1OC,O,0,0,7.93,[7.93],"[""['hunt_et_al']""]"
18,C[NH+:10](C)c1ccc(C=O)cc1,O,0,0,1.62,[1.62],"[""['hunt_et_al']""]"
19,Cc1ccc(C[NH3+:9])cc1,O,0,0,9.36,[9.36],"[""['hunt_et_al']""]"
20,O=C(O)Cc1ccc([NH3+:9])cc1,O,0,0,5.26,[5.26],"[""['hunt_et_al']""]"
21,Clc1cccc(Cl)c1[OH:7],O,0,0,6.79,[6.79],"[""['hunt_et_al']""]"
22,O=C(CCSCc1ccccc1)[OH:12],O,0,0,4.46,[4.46],"[""['hunt_et_al']""]"
23,c1ccc(CCC[NH2+:25]C(Cc2ccccc2)Cc2ccccc2)cc1,O,0,0,7.2,[7.2],"[""['hunt_et_al']""]"
24,Cc1cc[nH+:6]c(N)n1,O,0,0,4.11,[4.11],"[""['hunt_et_al']""]"
25,COc1cccc(C[NH3+:10])c1OC,O,0,0,9.41,[9.41],"[""['hunt_et_al']""]"
26,O=P1(O)Oc2c(-c3cc4ccccc4c4ccccc34)cc3c(c2-c2c4c(cc(-c5cc6ccccc6c6ccccc56)c2O1)CCCC4)CCCC3,CC#N,934201-93-1,"13-hydroxy-10,16-di(phenanthren-9-yl)-12,14-dioxa-13_5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(23),2,8,10,15,17-hexaene 13-oxide",13.985,"[13.97, 14.0]","[""['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
27,CC[NH2+]CC,CC#N,-,diethylazanium,18.75,[18.75],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
28,Cl,CC#N,7647-01-0,chlorane,10.1,"[8.9, 10.3, 10.3, 10.3, 10.3, 10.3, 10.3]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'DCE_2011_pKa_Table_MeCN.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
29,NC1=[NH+:15][C@H](c2ccc(F)cc2)Nc2cccc(F)c21,O,0,0,9.0,[9.0],"[""['hunt_et_al']""]"
30,O=CN[OH:4],O,0,0,8.65,[8.65],"[""['hunt_et_al']""]"
31,Nc1cccc[nH+:6]1,O,0,0,6.82,[6.82],"[""['hunt_et_al']""]"
32,Cc1cc(C)cc([OH:9])c1,O,0,0,10.15,[10.15],"[""['hunt_et_al']""]"
33,Cc1ccc(S(=O)(=O)[N-]C(=O)N2CCC([NH+:27]3CCC(Oc4ccc(Cl)c(C)c4Cl)CC3)CC2)cc1,O,0,0,8.7,[8.7],"[""['hunt_et_al']""]"
