Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
[H+].[B-](F)(F)(F)F,C(CCl)Cl,16872-11-0,hydron;tetrafluoroborate,35,[35.0],['leito_acids']
[H+].FC(F)(F)[B-](C#N)(C(F)(F)F)C(F)(F)F,C(CCl)Cl,863678-02-8,,35.7,[35.7],['leito_acids']
[H+].N#C[B-](C#N)(C#N)C#N,C(CCl)Cl,623575-99-5,,31.7,[31.7],['leito_acids']
[N+](=O)(O)[O-],CC#N,7697-37-2,nitric acid,8.8,[8.8],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
[N+](=O)(O)[O-],C(CCl)Cl,7697-37-2,nitric acid,43.6,[43.6],['leito_acids']
[NH3+]N,C1CCOC1,18500-32-8,aminoazanium,13.5,[13.5],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
[NH3+]N,O,18500-32-8,aminoazanium,7.96,[7.96],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
[NH3+]N,CS(=O)C,18500-32-8,aminoazanium,10.1,[10.1],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
[NH3+]N,CC#N,18500-32-8,aminoazanium,16.61,[16.61],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
[NH4+],O,14798-03-9,azanium,9.21,[9.21],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
[NH4+],CS(=O)C,14798-03-9,azanium,10.5,[10.5],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
[NH4+],CC#N,14798-03-9,azanium,16.46,[16.46],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,CC#N,1171188-96-7,"N-((4-chloro-3-nitrophenyl)sulfonyl)-2,3,4,5,6-pentafluorobenzenesulfonamide",6.17,"[6.18, 6.16, 6.16, 6.18]","['DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,CC#N,64646-01-1,4-chloro-N-((4-chloro-3-nitrophenyl)sulfonyl)-3-nitrobenzenesulfonamide,7.47,[7.47],['Ejoc202001649-sup-00001-misc_information.pdf']
[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,C(CCl)Cl,64646-01-1,4-chloro-N-((4-chloro-3-nitrophenyl)sulfonyl)-3-nitrobenzenesulfonamide,40.4,"[40.4, 40.4]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=C(Cl)C=CC(=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,CC#N,1171188-83-2,-,8.775,"[8.75, 8.8]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)C(C#N)C#N,CC#N,46764-49-2,-,6.19,"[6.16, 6.22]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,CC#N,1171188-92-3,"2,3,4,5,6-pentafluoro-N-((3-nitrophenyl)sulfonyl)benzenesulfonamide",6.705,"[6.73, 6.68, 6.68, 6.73]","['DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC(=CC=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,CC#N,34350-21-5,-,7.86,"[7.84, 7.88]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,CC#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,6.04,"[6.06, 6.06, 6.01, 6.01, 6.06]","['DCE_2011_pKa_Table_MeCN.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)C(C#N)C#N,C(CCl)Cl,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,39.9,"[39.9, 39.9]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,CC#N,174788-97-7,,3.33,[3.33],['leito_acids']
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,C(CCl)Cl,174788-97-7,,35.9,[35.9],['leito_acids']
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,C(CCl)Cl,174788-91-1,4-nitro-N-(trifluoromethylsulfonyl)benzenesulfonamide,37.1,[37.1],['Ejoc202001649-sup-00001-misc_information.pdf']
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,CC#N,174788-91-1,4-nitro-N-(trifluoromethylsulfonyl)benzenesulfonamide,4.215,"[4.39, 4.04]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=C(F)C(=C(F)C(=C2F)F)F,CC#N,1171188-93-4,"2,3,4,5,6-pentafluoro-N-((4-nitrophenyl)sulfonyl)benzenesulfonamide",6.6,"[6.6, 6.6, 6.6]","['DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,C(CCl)Cl,2226486-82-2,-,40.7,"[40.7, 40.7]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,CC#N,2226486-82-2,-,7.83,"[7.82, 7.84]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,CC#N,39062-98-1,4-nitro-N-(trifluoromethylsulfonyl)benzamide,9.49,"[9.49, 9.49]","['DCE_2011_pKa_Table_MeCN.pdf', 'leito_acids']"
[O-][N+](=O)C1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,CC#N,500721-97-1,"4-nitro-N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide",4.88,"[5.13, 4.63]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2Cl)F)Cl)F)Cl,CC#N,64934-69-6,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,4,6-trichloro-3,5-difluorophenyl)acetonitrile",20.13,[20.13],['pKa_values_of_acids_in_acetonitrile.pdf']
CC1=C(C(=C(C(=C1F)F)NC2=C(C(=C(C(=C2F)F)F)F)F)F)F,CC#N,80588-36-9,"2,3,5,6-tetrafluoro-4-methyl-N-(2,3,4,5,6-pentafluorophenyl)aniline",24.96,[24.96],['pKa_values_of_acids_in_acetonitrile.pdf']
Br,O,10035-10-6,bromane,-8.8,"[-8.8, -8.8]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
Br,CS(=O)C,10035-10-6,bromane,-6.8,"[-6.8, -6.8]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
Br,C(CCl)Cl,10035-10-6,bromane,40.6,"[40.6, 40.6, 40.6]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
Br,CC#N,10035-10-6,bromane,5.471428571,"[5.5, 5.5, 5.5, 5.5, 5.4, 5.4, 5.5]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'DCE_2011_pKa_Table_MeCN.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC#N,517-25-9,trinitromethane,7.3,[7.3],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(#N)C(=C(C#N)NC(=C(C#N)C#N)C#N)C#N,C(CCl)Cl,2284-24-4,"2-(1,2,2-tricyanoethenylamino)ethene-1,1,2-tricarbonitrile",33,[33.0],['leito_acids']
C(#N)C(=C(C#N)O)C#N,CC#N,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",4.375,"[4.39, 4.36, 4.36, 4.39]","['DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(=C(C#N)O)C#N,C(CCl)Cl,27062-39-1,"2-hydroxyethene-1,1,2-tricarbonitrile",36.3,"[36.3, 36.3]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C#N)C(=C(C#N)C#N)Br,C(CCl)Cl,100125-09-5,"2-bromoprop-1-ene-1,1,3,3-tetracarbonitrile",33.2,[33.2],['leito_acids']
C(#N)C(C#N)C(=C(C#N)C#N)C#N,C(CCl)Cl,45078-17-9,"prop-1-ene-1,1,2,3,3-pentacarbonitrile",29.7,[29.7],['leito_acids']
C(#N)C(C#N)C(=C(C#N)C#N)Cl,C(CCl)Cl,1261286-80-9,"2-chloroprop-1-ene-1,1,3,3-tetracarbonitrile",32.9,[32.9],['leito_acids']
C(#N)C(C#N)C(=C(C#N)C#N)N,C(CCl)Cl,98555-43-2,"2-aminoprop-1-ene-1,1,3,3-tetracarbonitrile",38.2,[38.2],['leito_acids']
C(#N)C(C#N)C#N,CC#N,454-50-2,methanetricarbonitrile,5,"[5.0, 5.0]","['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C(#N)C(C#N)C#N,O,454-50-2,methanetricarbonitrile,-5.1,[-5.1],['Ejoc202001649-sup-00001-misc_information.pdf']
C(#N)C(C#N)C#N,C(CCl)Cl,454-50-2,methanetricarbonitrile,38.6,"[38.6, 38.6]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C#N)C1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,C(CCl)Cl,1018330-44-3,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",42.2,[42.2],['leito_acids']
