mol,pka
7−NO2−Indole,29.99
Indoxyl acetate,29.97
Phenol,29.2
tBu4Box2CH2,28.85
"4−CN−2,3,5,6−F4−Aniline",28.78
"2,3,4,5,6−(CF3)5−Toluene",28.77
5−NO2−Indole,28.18
9−C6F5−Fluorene,28.14
"1−(4−Cl−C6H4)−3−(3,4−Cl2−C6H3)urea",27.95
4−NO2−Indole,27.89
6−NO2−Indole,27.79
Me2Box2CH2,27.59
"(3,5−(CF3)2−C6H3)3COH",27.21
C6H5−CH2−Tf,27.19
"1,2,3,4−F4−9−Ph−Fluorene",27.12
4−Cl−C6H4−CH2−Tf,27.06
4−F−C6H4−CH2−Tf,27.0
(Ph)(4−Me−C6F4)CHCN,26.98
4−Me−C6H4−SO2−NH2,26.95
Box2CH2,26.89
(4−NC5F4)(4−Me−C6H4)NH,26.87
Ph−SO2−NH2,26.63
Triazine 2,26.58
3−CF3−Phenol,26.5
C6F5−NH−COMe,26.45
(Ph)(4−NC5F4)NH,26.36
(4−NO2−C6H4)2NH,26.18
4−NO2−Indolocarbazole,26.18
4−F−C6H4−SO2−NH2,26.16
SBoxCH2,26.16
(Ph)(C6F5)CHCN,26.16
3−CN−Indole,26.01
4−Cl−C6H4−SO2−NH2,25.85
Triazine 1,25.85
4−NO2−Indole,27.89
6−NO2−Indole,27.79
Me2Box2CH2,27.59
"(3,5−(CF3)2−C6H3)3COH",27.21
C6H5−CH2−Tf,27.19
"1,2,3,4−F4−9−Ph−Fluorene",27.12
4−Cl−C6H4−CH2−Tf,27.06
4−F−C6H4−CH2−Tf,27.0
(Ph)(4−Me−C6F4)CHCN,26.98
4−Me−C6H4−SO2−NH2,26.95
Box2CH2,26.89
(4−NC5F4)(4−Me−C6H4)NH,26.87
Ph−SO2−NH2,26.63
Triazine 2,26.58
3−CF3−Phenol,26.5
C6F5−NH−COMe,26.45
(Ph)(4−NC5F4)NH,26.36
(4−NO2−C6H4)2NH,26.18
4−NO2−Indolocarbazole,26.18
4−F−C6H4−SO2−NH2,26.16
SBoxCH2,26.16
(Ph)(C6F5)CHCN,26.16
3−CN−Indole,26.01
4−Cl−C6H4−SO2−NH2,25.85
Triazine 1,25.85
3−F−C6H4−CH2−Tf,25.62
4−CF3−Phenol,25.5
3−Cl−C6H4−CH2−Tf,25.47
4−CF3−C6H4−SO2−NH2,25.24
3−CF3−C6H4−SO2−NH2,25.2
