,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
0,C#CCCOCn1cc[n+](Cc2ccccc2)c1C=NO,0,0,0,7.94,['7.94'],0
1,C#CC[NH+](CC#C)CC#C,0,0,0,3.09,['3.09'],0
2,C#CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,0,0,0,10.10,['10.10'],0
3,C#CC[NH+]1CCC(c2ccccc2)CC1,0,0,0,6.99,['6.99'],0
4,C#CC[NH2+]CCCCc1ccccc1,0,0,0,8.12,['8.12'],0
5,C#CC[NH2+]CCCc1ccccc1,0,0,0,7.85,['7.85'],0
6,C#CC[NH2+]CCc1ccccc1,0,0,0,7.47,['7.47'],0
7,C#CC[NH2+]Cc1ccc(Cl)cc1Cl,0,0,0,6.26,['6.26'],0
8,C#CC[NH2+]Cc1ccccc1,0,0,0,7.12,['7.12'],0
9,C#CCNc1ccccc1,0,0,0,3.06,['3.06'],0
10,O=C([O-])C(O)=C(O)C(=O)[O-],0,0,0,1.14,['1.14'],0
11,NC(=CC(=S)C(F)(F)F)C(F)(F)F,0,0,0,6.84,['6.84'],0
12,O=C([O-])C(Cl)=C(Cl)Cl,0,0,0,1.15,['1.15'],0
13,O=C([O-])C=CC(F)(F)C(F)(F)C(F)(F)F,0,0,0,3.23,['3.23'],0
14,O=C([O-])C=CC(F)(F)F,0,0,0,3.25,['3.25'],0
15,N=C(N[NH3+])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0,0,3.17,['3.17'],0
16,N=C(N[NH3+])C(F)(F)C(F)(F)C(F)(F)F,0,0,0,3.24,['3.24'],0
17,N=C(N)NS(N)(=O)=O,0,0,0,1.83,['1.83'],0
18,ON=CC(Cl)(Cl)Cl,0,0,0,9.26,['9.26'],0
19,O=C([O-])C(Br)(Br)Br,0,0,0,0.66,['0.66'],0
20,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,0,0,0,0.17,['0.17'],0
21,O=C([O-])C(Cl)(Cl)Cl,0,0,0,0.64,['0.64'],0
22,NC(CC(N)=[NH+]O)=[NH+]O,0,0,0,4.73,['4.73'],0
23,O=C(CCl)C(Cl)=NO,0,0,0,6.61,['6.61'],0
24,O=C([O-])CBr,0,0,0,2.90,['2.90'],0
25,O=C([O-])CI,0,0,0,3.15,['3.15'],0
26,O=C([O-])CNC(=O)CCl,0,0,0,3.38,['3.38'],0
27,O=C([O-])CS(=O)(=O)[O-],0,0,0,4.05,['4.05'],0
28,O=C([O-])C(Br)CBr,0,0,0,2.20,['2.20'],0
29,O=C([O-])CC(Br)C(=O)[O-],0,0,0,2.69,['2.69'],0
30,O=C([O-])C(O)C(Cl)C(=O)[O-],0,0,0,2.32,['2.32'],0
